data_year,suspected_drug_type_id,property_id,est_drug_qty,drug_measure_type_id,nibrs_suspected_drug_id
2022,16,165031819,0.700,1,15010510
2022,5,165031828,3.000,1,15010511
2022,12,162492390,1.000,1,14667909
2022,5,165031781,1.000,1,15010503
2022,2,165031786,6.000,1,15010505
2022,5,162492394,0.700,1,14667910
2022,16,162492397,1.000,1,14667911
2022,12,162492398,6.100,1,14667912
2022,12,162492400,27.800,1,14667913
2022,12,162483805,1.000,1,14666533
2022,5,165031786,4.000,1,15010506
2022,8,165031786,1.000,1,15010507
2022,12,162492407,0.400,1,14667914
2022,5,165031855,1.000,1,15010512
2022,5,162492409,1.000,1,14667915
2022,5,165032216,7.000,1,15010587
2022,12,162492419,32.000,1,14667916
2022,12,162493643,1.000,1,14668218
2022,12,162492422,0.060,1,14667917
2022,5,162492425,1.500,1,14667919
2022,12,162492428,1.000,9,14667920
2022,5,162492432,3.700,1,14667921
2022,12,162492441,25.100,1,14667923
2022,12,162492442,5.200,1,14667924
2022,12,162492450,1.000,1,14667926
2022,16,162492451,3.000,1,14667927
2022,5,162492454,1.000,1,14667928
2022,5,162492463,6.400,1,14667929
2022,12,162492464,5.060,1,14667930
2022,16,162492465,5.000,1,14667931
2022,4,162492473,1.000,1,14667932
2022,12,162483811,3.000,1,14666534
2022,8,162492475,5.000,1,14667933
2022,8,162492477,4.000,1,14667934
2022,5,162492483,100.400,1,14667936
2022,5,162492481,100.400,1,14667935
2022,12,162492488,1.500,1,14667937
2022,12,162487268,1.000,1,14667240
2022,12,162492493,0.600,1,14667938
2022,12,162492495,0.010,1,14667939
2022,12,162493645,1.000,1,14668219
2022,8,162493607,1.000,1,14668207
2022,12,162492498,1.700,1,14667940
2022,12,162492501,2.000,1,14667941
2022,12,165032216,0.700,1,15010588
2022,5,165031856,16.100,1,15010513
2022,12,162492504,2.400,1,14667942
2022,5,165032217,1.000,1,15010589
2022,5,162492507,12.460,1,14667943
2022,5,162492510,103.000,1,14667944
2022,12,162492511,1.100,1,14667945
2022,16,162492513,30.000,9,14667946
2022,12,162492517,1.000,1,14667947
2022,8,162492520,1.550,1,14667948
2022,2,162492523,5.100,1,14667949
2022,12,162493617,1.000,1,14668208
2022,12,162493618,1.000,1,14668209
2022,5,162492530,96.400,1,14667950
2022,12,162492531,1.100,1,14667951
2022,12,162492532,0.160,1,14667952
2022,2,162492533,0.900,1,14667953
2022,5,162492535,1.000,1,14667954
2022,12,162487271,1.000,1,14667241
2022,8,162492542,0.600,1,14667957
2022,8,162492544,9.000,1,14667958
2022,5,162492545,21.000,1,14667959
2022,2,162492546,29.500,1,14667960
2022,12,162492549,4.400,1,14667961
2022,5,162493654,14.000,1,14668220
2022,12,162493665,1.000,1,14668221
2022,16,162493666,2.000,1,14668222
2022,5,162493677,15.200,1,14668223
2022,5,162493681,1.000,1,14668224
2022,5,162493684,6.000,1,14668225
2022,5,165031860,1.000,1,15010514
2022,12,162487294,0.010,1,14667242
2022,5,165031862,10.000,1,15010515
2022,5,165031872,4.400,1,15010516
2022,11,162487325,5.000,1,14667243
2022,5,165031873,1.000,1,15010517
2022,5,165031792,17.000,1,15010508
2022,8,162487339,0.010,1,14667244
2022,8,162493691,1.000,1,14668226
2022,12,162493693,3.400,1,14668228
2022,5,162493692,1.000,1,14668227
2022,5,165031977,1.000,1,15010542
2022,12,162493698,3.300,1,14668229
2022,5,162493702,2.000,1,14668230
2022,5,165031982,11.800,1,15010543
2022,5,165031986,3.000,1,15010546
2022,5,165031991,2.000,1,15010547
2022,17,165031991,58.000,1,15010548
2022,1,165032089,1.000,1,15010569
